,time,    xAcc,    yAcc,    zAcc,    xAng,    yAng,    zAng,    xMag,    yMag,    zMag,    temp,   water,       lat,       lon
1,33057,  0.0076, -0.0317,  0.9861, -0.0229,  3.6697, -1.3275,      -1,      -1,      -1, 23.4609,       0,       nan,       nan
2,33097,  0.0042, -0.0203,  0.9915, -0.5264,  3.2959, -1.3962,      -1,      -1,      -1, 23.5000,       0,       nan,       nan
3,33136,  0.0076, -0.0293,  0.9875, -0.9079,  3.4485, -1.2131,      -1,      -1,      -1, 23.4727,       0,       nan,       nan
4,33175, -0.0020, -0.0312,  0.9883, -0.4120,  3.7003, -1.3657,      -1,      -1,      -1, 23.4805,       0,       nan,       nan
5,33213, -0.0032, -0.0259,  0.9917, -0.4654,  3.7994, -1.4572,      -1,      -1,      -1, 23.4844,       0,       nan,       nan
6,33256,  0.0010, -0.0242,  0.9878, -0.8469,  3.4332, -1.3504,      -1,      -1,      -1, 23.4531,       0,       nan,       nan
7,33295, -0.0010, -0.0259,  0.9890, -0.6561,  3.8147, -1.5793,      -1,      -1,      -1, 23.4648,       0,       nan,       nan
8,33333,  0.0037, -0.0286,  0.9902, -0.7401,  3.8910, -1.3428,      -1,      -1,      -1, 23.4766,       0,       nan,       nan
9,33371, -0.0012, -0.0256,  0.9900, -0.4120,  3.6621, -1.3733,      -1,      -1,      -1, 23.4766,       0,       nan,       nan
10,33409,  0.0032, -0.0303,  0.9917, -0.7706,  3.7003, -1.3428,      -1,      -1,      -1, 23.4844,       0,       nan,       nan
11,33448, -0.0005, -0.0234,  0.9907, -0.5417,  3.9749, -1.3657,      -1,      -1,      -1, 23.4648,       0,       nan,       nan
12,33486,  0.0010, -0.0259,  0.9917, -0.5493,  3.8986, -1.3046,      -1,      -1,      -1, 23.4922,       0,       nan,       nan
13,33524,  0.0017, -0.0222,  0.9827, -0.2975,  3.3798, -1.4801,      -1,      -1,      -1, 23.4648,       0,       nan,       nan
14,33562,  0.0037, -0.0269,  0.9873, -0.3510,  4.2038, -1.4648,      -1,      -1,      -1, 23.4531,       0,       nan,       nan
15,33600,  0.0269, -0.1553,  1.0203, -3.2196,  4.1580,  0.0000,      -1,      -1,      -1, 23.4531,       0,       nan,       nan
16,33639,  0.0574, -0.2063,  1.0322,  0.0153,  5.0735,-29.5258,      -1,      -1,      -1, 23.4688,       0,       nan,       nan
17,33677, -0.0286, -0.0125,  0.9404, -0.5493,  3.1586, -0.3891,      -1,      -1,      -1, 23.4688,       0,       nan,       nan
18,33715, -0.1001, -0.0190,  0.7686,  0.2365,  3.4256, 45.4559,      -1,      -1,      -1, 23.4883,       0,       nan,       nan
19,33753, -0.0708, -0.0291,  0.8806,  1.2283,  2.6550, 15.5716,      -1,      -1,      -1, 23.5039,       0,       nan,       nan
20,33791, -0.2080, -0.0269,  1.1394, -2.6855,  3.2272,-17.1127,      -1,      -1,      -1, 23.4766,       0,       nan,       nan
21,33830, -0.0825, -0.1223,  1.6125, -1.0147, -2.4643, -0.3281,      -1,      -1,      -1, 23.4766,       0,       nan,       nan
22,33868,  0.0713,  0.0164,  1.5735, -2.0218,  6.1951,-24.2615,      -1,      -1,      -1, 23.4609,       0,       nan,       nan
23,33906,  0.0625, -0.1201,  0.8850,  4.8065,  8.7128,-24.9252,      -1,      -1,      -1, 23.4609,       0,       nan,       nan
24,33944,  0.0950, -0.3250,  0.9385,  0.9918, -0.0305, -5.3558,      -1,      -1,      -1, 23.4727,       0,       nan,       nan
25,33982,  0.1265, -0.3047,  1.0378, -6.0196, -2.8915, -2.6779,      -1,      -1,      -1, 23.4570,       0,       nan,       nan
26,34020, -0.2209,  0.0420,  0.9185,  1.1139,  6.7215, 24.7726,      -1,      -1,      -1, 23.4414,       0,       nan,       nan
27,34059, -0.3181,  0.0332,  1.6509, -2.5177,  3.9215, 36.6211,      -1,      -1,      -1, 23.4883,       0,       nan,       nan
28,34099, -0.1262, -0.0776,  0.8699, -9.2010, -7.1487, 19.9890,      -1,      -1,      -1, 23.4883,       0,       nan,       nan
29,34138, -0.3904,  0.2178,  0.8374, -4.9744, 13.0234, 31.7230,      -1,      -1,      -1, 23.4453,       0,       nan,       nan
30,34176,  0.0903, -0.3926,  1.9268,-10.2081,  7.9803, 25.1236,      -1,      -1,      -1, 23.5000,       0,       nan,       nan
31,34214,  0.1116, -0.2114,  1.7881, -5.8594, -0.6561,  4.5700,      -1,      -1,      -1, 23.4492,       0,       nan,       nan
32,34252, -0.2366,  0.1660,  1.3201, 23.3231, 13.0234, -6.7444,      -1,      -1,      -1, 23.4688,       0,       nan,       nan
33,34291,  0.0005, -0.0667,  1.1921, -4.6310,  4.5776, -3.4561,      -1,      -1,      -1, 23.4805,       0,       nan,       nan
